on x=-28..16,y=-48..0,z=-7..44
on x=62128..86492,y=2594..15499,z=-24195..-10571
off x=2219..19847,y=12592..32436,z=-86119..-67674
on x=-56278..-34092,y=54621..61289,z=-21708..-19242
off x=-63041..-48277,y=-19613..12784,z=-72622..-45931
on x=57563..80235,y=-42045..-21769,z=-40799..-13361
on x=6220..8134,y=-74186..-56164,z=-50907..-20022
off x=-75502..-44226,y=5877..20737,z=-61065..-39871
on x=48277..68969,y=-36081..-27834,z=18263..36607
off x=-93101..-71686,y=-7843..3116,z=-17057..12847
on x=36193..51512,y=8748..35447,z=-68334..-58639
off x=-19203..-10949,y=40540..60605,z=44840..64661
on x=61087..79558,y=33642..52095,z=28059..47944
on x=67571..86130,y=-47358..-21910,z=-13665..-1076
off x=-5529..17584,y=-18687..-5784,z=-94943..-73274
off x=-65181..-39057,y=37403..41422,z=29593..53758
off x=9348..23505,y=50333..57501,z=45117..63584
on x=-15124..-6499,y=7082..20135,z=72325..96017
on x=60549..77585,y=7711..25932,z=-32123..-2195
on x=-16996..5758,y=-66306..-51786,z=-57328..-41405
on x=-31438..-14060,y=-82035..-62914,z=28869..56660
on x=34767..62680,y=63661..78805,z=5456..21739
on x=23029..34746,y=-36310..-34645,z=-78969..-64494
on x=-44102..-26259,y=-8791..22215,z=-86237..-62784
off x=49345..60898,y=41927..49623,z=29688..41802
off x=67218..77648,y=8499..32074,z=309..23300
off x=-59809..-29273,y=-44275..-11556,z=52869..59154
off x=-7673..-5248,y=-59866..-25933,z=-78436..-53354
on x=60149..64230,y=17720..40138,z=-35925..-32781
on x=-90944..-74097,y=-32220..-21035,z=1878..8099
off x=-22563..-7189,y=69911..87126,z=16741..43536
on x=13763..25760,y=-59665..-48977,z=49037..67509
on x=7708..30846,y=24868..56328,z=47465..72954
off x=45744..52061,y=-2106..28618,z=-80394..-52551
on x=-69552..-55846,y=-47887..-22859,z=-23859..-9154
off x=-49632..-35997,y=-62267..-50340,z=2889..21563
on x=-39042..-34966,y=54696..77783,z=13010..46587
off x=-54652..-33019,y=-35233..-15490,z=58507..83564
off x=-49857..-31653,y=38484..50592,z=38533..56655
on x=40348..47016,y=-15552..-5294,z=50420..70694
off x=31271..43474,y=59286..77778,z=-3705..14499
off x=43476..60776,y=25882..39944,z=-63918..-44075
off x=-85323..-60474,y=-3767..1993,z=-24858..-5631
off x=59538..75559,y=16018..50491,z=-44591..-19953
on x=54273..91124,y=4853..31649,z=25520..46720
on x=-15271..3187,y=49068..70558,z=-64590..-39318
off x=-11166..1561,y=61100..80919,z=41278..48900
off x=-68170..-35507,y=15380..31052,z=44928..64928
on x=-79141..-63267,y=-38097..-17803,z=27565..39793
off x=35617..62914,y=17357..37935,z=-67537..-46955
off x=75258..88375,y=18743..32541,z=-21301..2102
off x=-51965..-14899,y=-82956..-52244,z=7707..16866
on x=-45266..-41350,y=-6426..18559,z=-73051..-56683
off x=6388..16150,y=68541..96433,z=-21319..3526
off x=-78796..-70623,y=7464..24358,z=-13457..19379
off x=57312..83670,y=-10302..11924,z=16389..33808
off x=-20655..5758,y=-88891..-74610,z=-14711..6771
off x=60755..87364,y=-4354..11468,z=-40103..-26166
off x=-51582..-29242,y=-9493..-3586,z=-71318..-61376
off x=49474..82569,y=35178..49303,z=-3013..17859
on x=17996..51804,y=60639..71390,z=14591..45698
off x=-4255..885,y=-86958..-68991,z=14233..52190
off x=-2525..15884,y=68182..88218,z=2639..16932
on x=22391..54046,y=21513..46833,z=-62874..-45827
off x=52662..72579,y=-25444..-12483,z=-56130..-36016
off x=54278..63949,y=36259..60155,z=17189..39193
off x=-11094..24227,y=-82795..-61018,z=76..32728
on x=-45794..-31326,y=-34389..-13750,z=47540..68919
on x=-17654..8599,y=25564..52506,z=-71942..-58407
off x=-35316..-10580,y=-60585..-37451,z=52982..60640
off x=42468..63388,y=-53755..-44232,z=14914..28572
off x=-90493..-63942,y=896..19749,z=24800..36043
off x=-21349..-19329,y=54201..73291,z=41420..61713
on x=15742..45245,y=45281..70499,z=34362..47718
on x=29532..68244,y=39054..66054,z=-40729..-25214
off x=-72688..-67520,y=-33082..-5024,z=-35069..-18313
off x=55205..65565,y=-40221..-27266,z=-52799..-36100
off x=-25658..-10567,y=-49110..-23999,z=-80909..-68443
off x=34428..53648,y=-85582..-62651,z=-21365..-3068
off x=-8355..26521,y=62047..93907,z=4541..25168
off x=64821..88457,y=22550..43490,z=2179..29791
off x=25..33417,y=58094..63212,z=-55323..-41795
off x=43920..70330,y=7595..21495,z=51592..59757
off x=-40552..-30302,y=-84294..-50462,z=25161..30986
off x=-43082..-26100,y=-48341..-27684,z=57974..68776
on x=63307..98099,y=5239..6835,z=-10290..7604
off x=-56051..-37896,y=-54998..-28049,z=-54865..-25544
on x=-90780..-70620,y=21967..48491,z=-27294..5978
on x=-54501..-26623,y=15690..38226,z=-62407..-42603
on x=-37188..-7940,y=-44155..-27767,z=54654..69550
on x=-43941..-18987,y=-80909..-49264,z=23182..52495
off x=-37956..-7791,y=-60872..-29579,z=48062..79477
on x=-45315..-34660,y=-43012..-24766,z=-69803..-51792
on x=-29071..1693,y=59904..88299,z=-27228..-8428
on x=71463..80739,y=-5557..9188,z=31987..34232
off x=69685..92757,y=15383..33721,z=2492..13716
off x=31129..48645,y=14907..32702,z=51374..69471
on x=-27354..-11896,y=53951..79566,z=19012..30611
on x=-10617..15746,y=-85619..-58865,z=-37058..-6481
off x=7510..32970,y=-2176..9990,z=-82335..-65371
on x=26157..52974,y=21017..49726,z=56310..71614
on x=-90923..-65168,y=-26173..-7273,z=12486..29477
on x=49051..75622,y=-55612..-27911,z=35019..40277
off x=18242..35160,y=-78992..-47098,z=-55649..-34785
on x=46549..59075,y=-51550..-27864,z=-65729..-36745
on x=-88707..-59767,y=-22290..-7702,z=-18116..10257
off x=-28367..-1172,y=-38705..-32225,z=65254..82624
off x=8132..24457,y=67446..89556,z=2649..20586
off x=-58620..-53438,y=34898..60181,z=27961..37874
on x=-5212..15843,y=17175..21721,z=-82048..-66953
off x=-34571..-3519,y=15800..26425,z=-83105..-64876
off x=-42841..-25628,y=-37013..-15996,z=57254..89725
on x=64596..87002,y=-636..9416,z=-23576..-607
on x=-19886..-15182,y=-41900..-26203,z=-71734..-50009
on x=-51000..-28187,y=-53585..-32748,z=42750..63329
on x=33094..58194,y=-66082..-41581,z=37005..52569
off x=-88093..-78109,y=-16275..7951,z=-21058..1805
off x=-35424..-17859,y=-91788..-74602,z=4659..22350
on x=34636..44622,y=49201..70860,z=-51045..-34152
off x=57533..89201,y=-19686..8041,z=20134..53867
on x=-72336..-50630,y=3272..19475,z=-73377..-41567
on x=-39941..-20090,y=44207..65660,z=38358..46288
off x=25773..52885,y=-19505..-1242,z=47756..67747
off x=-66654..-39150,y=-61014..-40867,z=34863..56457
off x=55029..79772,y=26767..42575,z=-28493..-22469
off x=12260..26817,y=-42201..-28002,z=-87775..-59299
on x=11403..35365,y=54876..78258,z=30994..63386
off x=51120..69484,y=-19375..-5359,z=32407..63494
off x=-78490..-75303,y=-27728..-11076,z=-26007..40
on x=-31321..-16229,y=-38342..-30414,z=-76015..-52813
off x=16047..20947,y=-20240..13385,z=-93147..-70379
off x=336..17722,y=-93976..-74467,z=-21364..-4290
on x=-87077..-72111,y=-19311..2385,z=-19722..11948
on x=-43084..-36372,y=45712..79823,z=-35896..-17054
on x=51948..84441,y=-20034..16460,z=-49997..-39453
on x=-801..22161,y=-27356..-9033,z=64701..77370
off x=-17951..-3999,y=-22008..-5995,z=74415..87205
on x=36551..55317,y=-6322..7074,z=45902..60732
off x=-77898..-46110,y=-7761..14727,z=-66524..-27225
off x=30110..58658,y=-80172..-45638,z=9785..40800
on x=-45418..-11683,y=47555..61363,z=-61328..-43598
on x=-80008..-69072,y=-1319..17150,z=-21743..-4143
off x=-86580..-49644,y=33570..44522,z=2446..22556
on x=58440..69330,y=42013..49828,z=-38416..-10905
on x=-9908..4199,y=36609..69919,z=52916..76179
on x=51626..69610,y=-36470..-23324,z=7185..32596
on x=56569..81453,y=-21538..437,z=41732..49370
on x=36553..49666,y=-11893..8686,z=-82624..-48977
on x=2986..29502,y=-54434..-49660,z=-63927..-38189
off x=-5293..9459,y=-67681..-55149,z=48505..66469
on x=-46715..-36399,y=-76263..-62952,z=-48274..-19984
on x=-54416..-28922,y=42872..75760,z=-54458..-16424
off x=-42207..-10237,y=23871..47599,z=-77359..-50055
on x=29280..62784,y=-66700..-41256,z=-56890..-26180
on x=-28625..-11913,y=-60101..-38069,z=-57492..-37098
on x=-89088..-60937,y=9529..37643,z=-11865..7850
off x=-80400..-49614,y=-43525..-28655,z=26499..51995
on x=5353..30424,y=65230..91478,z=-32520..-5102
off x=-81229..-63087,y=-12508..16907,z=-27119..-17105
on x=34340..63142,y=20..26920,z=53898..71455
off x=1014..17545,y=-75840..-47576,z=36094..60264
off x=-46217..-18879,y=30016..54146,z=55825..63549
off x=29308..54759,y=-62506..-56240,z=-27967..3765
off x=44146..45970,y=9779..37326,z=-72844..-49270
on x=-15311..6239,y=-4435..19231,z=76084..96718
off x=-84687..-69536,y=16529..28274,z=-16189..-5583
on x=-73836..-42104,y=-23097..9342,z=-63732..-50625
off x=-43484..-29966,y=-65904..-39849,z=-54334..-28671
off x=61637..68600,y=-44250..-21193,z=-43509..-24790
on x=54915..59902,y=46331..70655,z=-24790..-20283
